# Androgeek - Traducciones Storefront (Español)
# Formato: "Texto en inglés","Texto en español"
# ---- Navegación y general ----
"Search","Buscar"
"Login","Iniciar sesión"
"Logout","Cerrar sesión"
"My Account","Mi cuenta"
"Categories","Categorías"
"Home","Inicio"
"Error","Error"
"Cancel","Cancelar"
"Save","Guardar"
"Edit","Editar"
"Delete","Eliminar"
"Remove","Eliminar"
"Apply","Aplicar"
"Default","Predeterminado"
"Name","Nombre"
"Price","Precio"
"Quantity","Cantidad"
# ---- Autenticación ----
"Welcome Back!","¡Bienvenido de nuevo!"
"Please sign in to your account","Inicia sesión en tu cuenta"
"Email","Correo electrónico"
"Password","Contraseña"
"Email is required","El correo electrónico es obligatorio"
"Password is required","La contraseña es obligatoria"
"Forgot your password?","¿Olvidaste tu contraseña?"
"Create an account","Crear una cuenta"
"Already have an account?","¿Ya tienes una cuenta?"
"Log in","Iniciar sesión"
"Logging in...","Iniciando sesión..."
"Logging out...","Cerrando sesión..."
"Login failed","Error al iniciar sesión"
"Logout failed","Error al cerrar sesión"
"Successfully logged in","Sesión iniciada correctamente"
"Successfully logged out","Sesión cerrada correctamente"
"You are already logged in","Ya tienes la sesión iniciada"
"Logged in as","Sesión iniciada como"
"Go to Login","Ir al inicio de sesión"
# ---- Registro / Contraseña ----
"Registration failed","Error en el registro"
"Join us for exclusive offers and order tracking","Únete para ofertas exclusivas y seguimiento de pedidos"
"Reset Password","Restablecer contraseña"
"Reset Your Password","Restablece tu contraseña"
"Enter your email","Escribe tu correo electrónico"
"Enter your password","Escribe tu contraseña"
"Enter your new password","Escribe tu nueva contraseña"
"Please enter your email to receive a reset link","Escribe tu correo electrónico para recibir el enlace de restablecimiento"
"Please enter a valid email address","Por favor, ingresa un correo electrónico válido"
"Password must be at least ${minLength} characters long","La contraseña debe tener al menos ${minLength} caracteres"
"UPDATE PASSWORD","ACTUALIZAR CONTRASEÑA"
"Your password has been updated successfully.","Tu contraseña ha sido actualizada correctamente."
# ---- Carrito ----
"Shopping Cart","Carrito de compras"
"Shopping cart","Carrito de compras"
"Your Cart","Tu carrito"
"Your cart is empty!","¡Tu carrito está vacío!"
"Your cart is empty","Tu carrito está vacío"
"Add some items to get started","Agrega productos para comenzar"
"ADD TO CART","AÑADIR AL CARRITO"
"Add to Cart","Añadir al carrito"
"Adding...","Añadiendo..."
"View Cart (${totalQty})","Ver carrito (${totalQty})"
"CHECKOUT","PAGAR"
"CONTINUE SHOPPING","SEGUIR COMPRANDO"
"Continue Shopping","Seguir comprando"
"Continue shopping","Seguir comprando"
"Sub total","Subtotal"
"Subtotal","Subtotal"
"Shipping","Envío"
"Tax","Impuesto"
"Discount(${coupon})","Descuento (${coupon})"
"Total","Total"
"FREE","GRATIS"
"Inclusive of tax ${totalTaxAmount}","Impuesto incluido ${totalTaxAmount}"
# ---- Cupones ----
"Enter coupon code","Ingresa el código de cupón"
"Apply Filters","Aplicar filtros"
"Coupon code is required","El código de cupón es obligatorio"
"Please enter a coupon code","Por favor, ingresa un código de cupón"
"Coupon applied successfully!","¡Cupón aplicado correctamente!"
"Coupon removed successfully!","¡Cupón eliminado correctamente!"
"A coupon is already applied","Ya hay un cupón aplicado"
"Invalid coupon","Cupón inválido"
"No coupon to remove","No hay cupón para eliminar"
"Cannot apply coupon: cart not initialized","No se puede aplicar el cupón: el carrito no está inicializado"
"Cannot remove coupon: cart not initialized","No se puede eliminar el cupón: el carrito no está inicializado"
"Failed to apply coupon","Error al aplicar el cupón"
"Failed to remove coupon","Error al eliminar el cupón"
"Failed to remove coupon.","Error al eliminar el cupón."
# ---- Checkout ----
"Checkout","Pagar"
"Contact Information","Información de contacto"
"Contact information","Información de contacto"
"Billing Address","Dirección de facturación"
"Shipping Address","Dirección de envío"
"Shipping Method","Método de envío"
"Payment Method","Método de pago"
"Payment Information","Información de pago"
"Order summary","Resumen del pedido"
"Complete Order","Completar pedido"
"Place Order","Realizar pedido"
"Placing Order...","Realizando pedido..."
"Continue to payment","Continuar con el pago"
"Select shipping method","Seleccionar método de envío"
"Select a payment method","Seleccionar método de pago"
"Pick a payment method","Elige un método de pago"
"Same as shipping address","Igual que la dirección de envío"
"Use a different billing address","Usar una dirección de facturación diferente"
"No shipping is required for this order","Este pedido no requiere envío"
"No shipping required","No se requiere envío"
"No shipping methods available","No hay métodos de envío disponibles"
"No payment methods available","No hay métodos de pago disponibles"
"Shipping (${method})","Envío (${method})"
"Please select a shipping method","Por favor, selecciona un método de envío"
"Please select a payment method","Por favor, selecciona un método de pago"
"Please provide billing address to proceed","Por favor, proporciona una dirección de facturación para continuar"
"Pay with PayPal","Pagar con PayPal"
"Pay with Stripe","Pagar con Stripe"
"Redirecting to PayPal...","Redirigiendo a PayPal..."
"You will be redirected to PayPal for payment processing.","Serás redirigido a PayPal para procesar el pago."
"Stripe is not loaded. Please try again.","Stripe no está disponible. Por favor, inténtalo de nuevo."
"Processing Payment...","Procesando pago..."
"Cart ID is required to checkout","Se requiere el ID del carrito para pagar"
"Cart is not initialized","El carrito no está inicializado"
"Cannot add billing address: cart not initialized","No se puede agregar la dirección de facturación: carrito no inicializado"
"Cannot add contact info: cart not initialized","No se puede agregar la información de contacto: carrito no inicializado"
"Cannot add payment method: cart not initialized","No se puede agregar el método de pago: carrito no inicializado"
"Cannot add shipping address: cart not initialized","No se puede agregar la dirección de envío: carrito no inicializado"
"Cannot add shipping method: cart not initialized","No se puede agregar el método de envío: carrito no inicializado"
"Failed to add billing address","Error al agregar la dirección de facturación"
"Failed to add billing address.","Error al agregar la dirección de facturación."
"Failed to add contact info","Error al agregar la información de contacto"
"Failed to add contact info.","Error al agregar la información de contacto."
"Failed to add item to cart","Error al agregar el artículo al carrito"
"Failed to add payment method","Error al agregar el método de pago"
"Failed to add payment method.","Error al agregar el método de pago."
"Failed to add product to cart","Error al agregar el producto al carrito"
"Failed to add shipping address","Error al agregar la dirección de envío"
"Failed to add shipping address.","Error al agregar la dirección de envío."
"Failed to add shipping method","Error al agregar el método de envío"
"Failed to add shipping method.","Error al agregar el método de envío."
"Failed to checkout","Error al finalizar la compra"
"Failed to place order","Error al realizar el pedido"
"Failed to place order. Please try again.","Error al realizar el pedido. Por favor, inténtalo de nuevo."
# ---- Pedidos ----
"Order","Pedido"
"Order #${orderNumber}","Pedido #${orderNumber}"
"Order Placed","Pedido realizado"
"Thank you ${name}!","¡Gracias ${name}!"
"Recent Orders","Pedidos recientes"
"You have not placed any orders yet","No has realizado ningún pedido aún"
# ---- Dirección ----
"Address Book","Libreta de direcciones"
"Add new address","Agregar nueva dirección"
"Edit Address","Editar dirección"
"Full Name","Nombre completo"
"Full name","Nombre completo"
"Full Name is required","El nombre completo es obligatorio"
"Full name is required","El nombre completo es obligatorio"
"Address","Dirección"
"Address 2","Dirección 2"
"City","Ciudad"
"Province","Provincia"
"Postcode","Código postal"
"Country","País"
"Telephone","Teléfono"
"Address is required","La dirección es obligatoria"
"City is required","La ciudad es obligatoria"
"Province is required","La provincia es obligatoria"
"Postcode is required","El código postal es obligatorio"
"Country is required","El país es obligatorio"
"Telephone is required","El teléfono es obligatorio"
"Set as default","Establecer como predeterminada"
"Address has been deleted successfully!","¡La dirección ha sido eliminada correctamente!"
"Address has been saved successfully!","¡La dirección ha sido guardada correctamente!"
"Address has been updated successfully!","¡La dirección ha sido actualizada correctamente!"
"No address data received","No se recibieron datos de la dirección"
"Failed to add address","Error al agregar la dirección"
"Failed to delete address","Error al eliminar la dirección"
"Failed to update address","Error al actualizar la dirección"
"Failed to update shipment","Error al actualizar el envío"
"You have no addresses saved","No tienes direcciones guardadas"
"Add address API not available","API para agregar dirección no disponible"
"Delete address API not available","API para eliminar dirección no disponible"
"Update address API not available","API para actualizar dirección no disponible"
# ---- Catálogo / Productos ----
"Product","Producto"
"Product Description","Descripción del producto"
"Product Filters","Filtros de producto"
"Filter Products","Filtrar productos"
"Filters","Filtros"
"Active Filters","Filtros activos"
"Apply Filters","Aplicar filtros"
"Clear All","Limpiar todo"
"Sort By","Ordenar por"
"Select sort","Seleccionar orden"
"Price: ${value}","Precio: ${value}"
"SKU ${sku}","SKU ${sku}"
"SKU: ${sku}","SKU: ${sku}"
"Sku","SKU"
"In Stock","En stock"
"Out of Stock","Sin stock"
"SOLD OUT","AGOTADO"
"Invalid quantity","Cantidad inválida"
"Product is out of stock","El producto está sin stock"
"Product name is required","El nombre del producto es obligatorio"
"SKU must be unique","El SKU debe ser único"
"No products found","No se encontraron productos"
"${count} Products","${count} Productos"
"${count} products","${count} productos"
"Show all ${count} options","Mostrar todas las ${count} opciones"
"Please select variant options","Por favor, selecciona las opciones de la variante"
"Contact for pricing","Contactar para precio"
# ---- Búsqueda ----
"Search results for \"","Resultados de búsqueda para \""
"No categories found for \"","No se encontraron categorías para \""
"No options found for \"","No se encontraron opciones para \""
"No data available","No hay datos disponibles"
# ---- Cuenta de cliente ----
"Account Information","Información de la cuenta"
# ---- Mensajes generales de error/éxito ----
"Saved successfully!","¡Guardado correctamente!"
"Some error occurred. Please try again later.","Ocurrió un error. Por favor, inténtalo más tarde."
"Something went wrong! Please try again.","¡Algo salió mal! Por favor, inténtalo de nuevo."
"Can not process payment. Please try again later.","No se puede procesar el pago. Por favor, inténtalo más tarde."
"Please enter a valid URL","Por favor, ingresa una URL válida"
# ---- Formularios / Validación ----
"${field} is required","${field} es obligatorio"
"Enter value for ${attribute}","Ingresa el valor para ${attribute}"
"Value must be a whole number","El valor debe ser un número entero"
"Value must be at least ${min}","El valor debe ser al menos ${min}"
"Value must be at most ${max}","El valor debe ser como máximo ${max}"
"Date must be after ${min}","La fecha debe ser posterior a ${min}"
"Date must be before ${max}","La fecha debe ser anterior a ${max}"
"Date and time must be after ${min}","La fecha y hora deben ser posteriores a ${min}"
"Date and time must be before ${max}","La fecha y hora deben ser anteriores a ${max}"
"Time must be after ${min}","La hora debe ser posterior a ${min}"
"Time must be before ${max}","La hora debe ser anterior a ${max}"
"File size must be less than ${maxSize}","El tamaño del archivo debe ser menor que ${maxSize}"
"Password must be at least ${minLength} characters long","La contraseña debe tener al menos ${minLength} caracteres"
# ---- Página 404 ----
"404 Page Not Found","404 Página no encontrada"
"The page you requested does not exist.","La página que solicitaste no existe."
